"Category","Item","Serving.Size","Calories","Calories.from.Fat","Total.Fat","Saturated.Fat","Trans.Fat","Cholesterol","Carbohydrates","Dietary.Fiber","Sugars","Protein","Sodium_DV","Vitamin.A_DV","Vitamin.C_DV","Calcium_DV","Iron_DV","Quantity","Size"
"Breakfast","Egg McMuffin","4.8 oz (136 g)",300,120,13,5,0,260,31,4,3,17,31,10,0,25,15,136,NA
"Breakfast","Egg White Delight","4.8 oz (135 g)",250,70,8,3,0,25,30,4,3,18,32,6,0,25,8,135,NA
"Breakfast","Sausage McMuffin","3.9 oz (111 g)",370,200,23,8,0,45,29,4,2,14,33,8,0,25,10,111,NA
"Breakfast","Sausage McMuffin with Egg","5.7 oz (161 g)",450,250,28,10,0,285,30,4,2,21,36,15,0,30,15,161,NA
"Breakfast","Sausage McMuffin with Egg Whites","5.7 oz (161 g)",400,210,23,8,0,50,30,4,2,21,37,6,0,25,10,161,NA
"Breakfast","Steak & Egg McMuffin","6.5 oz (185 g)",430,210,23,9,1,300,31,4,3,26,40,15,2,30,20,185,NA
"Breakfast","Bacon, Egg & Cheese Biscuit (Regular Biscuit)","5.3 oz (150 g)",460,230,26,13,0,250,38,2,3,19,54,10,8,15,15,150,NA
"Breakfast","Bacon, Egg & Cheese Biscuit (Large Biscuit)","5.8 oz (164 g)",520,270,30,14,0,250,43,3,4,19,59,15,8,20,20,164,NA
"Breakfast","Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)","5.4 oz (153 g)",410,180,20,11,0,35,36,2,3,20,54,2,8,15,10,153,NA
"Breakfast","Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)","5.9 oz (167 g)",470,220,25,12,0,35,42,3,4,20,59,6,8,15,15,167,NA
"Breakfast","Sausage Biscuit (Regular Biscuit)","4.1 oz (117 g)",430,240,27,12,0,30,34,2,2,11,45,0,0,6,15,117,NA
"Breakfast","Sausage Biscuit (Large Biscuit)","4.6 oz (131 g)",480,280,31,13,0,30,39,3,3,11,50,4,0,8,15,131,NA
"Breakfast","Sausage Biscuit with Egg (Regular Biscuit)","5.7 oz (163 g)",510,290,33,14,0,250,36,2,2,18,49,6,0,10,20,163,NA
"Breakfast","Sausage Biscuit with Egg (Large Biscuit)","6.2 oz (177 g)",570,330,37,15,0,250,42,3,3,18,53,10,0,10,20,177,NA
"Breakfast","Sausage Biscuit with Egg Whites (Regular Biscuit)","5.9 oz (167 g)",460,250,27,12,0,35,34,2,3,18,49,0,0,8,15,167,NA
"Breakfast","Sausage Biscuit with Egg Whites (Large Biscuit)","6.4 oz (181 g)",520,280,32,13,0,35,40,3,3,18,54,4,0,8,15,181,NA
"Breakfast","Southern Style Chicken Biscuit (Regular Biscuit)","5 oz (143 g)",410,180,20,8,0,30,41,2,3,17,49,0,2,6,15,143,NA
"Breakfast","Southern Style Chicken Biscuit (Large Biscuit)","5.5 oz (157 g)",470,220,24,9,0,30,46,3,4,17,54,4,2,8,15,157,NA
